taxon_ids,user_supplied_name,submitted_name,matched_name,data_source_title,score,family,class
Pandion haliaetus,Pandion haliaetus,Pandion haliaetus,Pandion haliaetus,NCBI,0.988,Pandionidae,Aves
Morus bassanus,Morus bassanus,Morus bassanus,Morus bassanus,NCBI,0.988,Sulidae,Aves
Larus argentatus,Larus argentatus,Larus argentatus,Larus argentatus,NCBI,0.988,Laridae,Aves
Numenius arquata,Numenius arquata,Numenius arquata,Numenius arquata,NCBI,0.988,Scolopacidae,Aves
Anas penelope,Anas penelope,Anas penelope,Anas penelope,Freebase,0.988,Anatidae,Aves
"Larus fuscus,Larus argentatus",Larus fuscus,Larus fuscus,Larus fuscus,NCBI,0.988,Laridae,Aves
"Larus fuscus,Larus argentatus",Larus argentatus,Larus argentatus,Larus argentatus,NCBI,0.988,Laridae,Aves
Buteo buteo,Buteo buteo,Buteo buteo,Buteo buteo,NCBI,0.988,Accipitridae,Aves
"Phaetusa simplex,Rynchops niger",Phaetusa simplex,Phaetusa simplex,Phaetusa simplex,NCBI,0.988,Laridae,Aves
"Phaetusa simplex,Rynchops niger",Rynchops niger,Rynchops niger,Rynchops niger,NCBI,0.988,Laridae,Aves
"Eidolon helvum,Eidolon dupreanum",Eidolon helvum,Eidolon helvum,Eidolon helvum,NCBI,0.988,Pteropodidae,Mammalia
"Eidolon helvum,Eidolon dupreanum",Eidolon dupreanum,Eidolon dupreanum,Eidolon dupreanum,NCBI,0.988,Pteropodidae,Mammalia
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila",Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos,NCBI,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila",Anas strepera,Anas strepera,Anas strepera,Freebase,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila",Anas acuta,Anas acuta,Anas acuta,NCBI,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila",Anas discors,Anas discors,Anas discors,NCBI,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila",Anas cyanoptera,Anas cyanoptera,Anas cyanoptera,NCBI,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila",Anas americana,Anas americana,Anas americana,Freebase,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila",Anas clypeata,Anas clypeata,Anas clypeata,NCBI,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila",Aythya valisineria,Aythya valisineria,Aythya valisineria,NCBI,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila",Aythya marila,Aythya marila,Aythya marila,NCBI,0.988,Anatidae,Aves
Ephippiorhynchus senegalensis,Ephippiorhynchus senegalensis,Ephippiorhynchus senegalensis,Ephippiorhynchus senegalensis,NCBI,0.988,Ciconiidae,Aves
"Gavia stellata,Morus bassanus,Melanitta perspicillata",Gavia stellata,Gavia stellata,Gavia stellata,NCBI,0.988,Gaviidae,Aves
"Gavia stellata,Morus bassanus,Melanitta perspicillata",Morus bassanus,Morus bassanus,Morus bassanus,NCBI,0.988,Sulidae,Aves
"Gavia stellata,Morus bassanus,Melanitta perspicillata",Melanitta perspicillata,Melanitta perspicillata,Melanitta perspicillata,NCBI,0.988,Anatidae,Aves
Nyctalus noctula,Nyctalus noctula,Nyctalus noctula,Nyctalus noctula,NCBI,0.988,Vespertilionidae,Mammalia
Ursus arctos,Ursus arctos,Ursus arctos,Ursus arctos,NCBI,0.988,Ursidae,Mammalia
Rangifer tarandus,Rangifer tarandus,Rangifer tarandus,Rangifer tarandus,NCBI,0.988,Cervidae,Mammalia
Turdus migratorius,Turdus migratorius,Turdus migratorius,Turdus migratorius,NCBI,0.988,Turdidae,Aves
Canis lupus,Canis lupus,Canis lupus,Canis lupus,NCBI,0.988,Canidae,Mammalia
Alces alces,Alces alces,Alces alces,Alces alces,NCBI,0.988,Cervidae,Mammalia
Ovis dalli,Ovis dalli,Ovis dalli,Ovis dalli,NCBI,0.988,Bovidae,Mammalia
Aquila chrysaetos,Aquila chrysaetos,Aquila chrysaetos,Aquila chrysaetos,NCBI,0.988,Accipitridae,Aves
"Aquila chrysaetos,Haliaeetus leucocephalus",Aquila chrysaetos,Aquila chrysaetos,Aquila chrysaetos,NCBI,0.988,Accipitridae,Aves
"Aquila chrysaetos,Haliaeetus leucocephalus",Haliaeetus leucocephalus,Haliaeetus leucocephalus,Haliaeetus leucocephalus,NCBI,0.988,Accipitridae,Aves
Rallus,Rallus,Rallus,Rallus,Catalogue of Life,0.75,Rallidae,Aves
"Ciconia ciconia,Homo sapiens",Ciconia ciconia,Ciconia ciconia,Ciconia ciconia,NCBI,0.988,Ciconiidae,Aves
"Ciconia ciconia,Homo sapiens",Homo sapiens,Homo sapiens,Homo sapiens,NCBI,0.988,Hominidae,Mammalia
Turdus merula,Turdus merula,Turdus merula,Turdus merula,NCBI,0.988,Turdidae,Aves
Accipiter cooperii,Accipiter cooperii,Accipiter cooperii,Accipiter cooperii,NCBI,0.988,Accipitridae,Aves
Circus aeruginosus,Circus aeruginosus,Circus aeruginosus,Circus aeruginosus,NCBI,0.988,Accipitridae,Aves
Erinaceus,Erinaceus,Erinaceus,Erinaceus,Catalogue of Life,0.75,Erinaceidae,Mammalia
Elephas maximus,Elephas maximus,Elephas maximus,Elephas maximus,NCBI,0.988,Elephantidae,Mammalia
Bubalus bubalis,Bubalus bubalis,Bubalus bubalis,Bubalus bubalis,NCBI,0.988,Bovidae,Mammalia
"Caretta caretta,Chelonia mydas",Caretta caretta,Caretta caretta,Caretta caretta,NCBI,0.988,Cheloniidae,Reptilia
"Caretta caretta,Chelonia mydas",Chelonia mydas,Chelonia mydas,Chelonia mydas,NCBI,0.988,Cheloniidae,Reptilia
Ardea alba,Ardea alba,Ardea alba,Ardea alba,NCBI,0.988,Ardeidae,Aves
Limosa limosa,Limosa limosa,Limosa limosa,Limosa limosa,NCBI,0.988,Scolopacidae,Aves
Animalia,Animalia,Animalia,Animalia,Catalogue of Life,0.75,,
Alle alle,Alle alle,Alle alle,Alle alle,NCBI,0.988,Alcidae,Aves
Pygoscelis adeliae,Pygoscelis adeliae,Pygoscelis adeliae,Pygoscelis adeliae,NCBI,0.988,Spheniscidae,Aves
Columba livia,Columba livia,Columba livia,Columba livia,NCBI,0.988,Columbidae,Aves
Aegypius monachus,Aegypius monachus,Aegypius monachus,Aegypius monachus,NCBI,0.988,Accipitridae,Aves
"Panthera leo,Panthera pardus,Acinonyx jubatus,Lycaon pictus",Panthera leo,Panthera leo,Panthera leo,NCBI,0.988,Felidae,Mammalia
"Panthera leo,Panthera pardus,Acinonyx jubatus,Lycaon pictus",Panthera pardus,Panthera pardus,Panthera pardus,NCBI,0.988,Felidae,Mammalia
"Panthera leo,Panthera pardus,Acinonyx jubatus,Lycaon pictus",Acinonyx jubatus,Acinonyx jubatus,Acinonyx jubatus,NCBI,0.988,Felidae,Mammalia
"Panthera leo,Panthera pardus,Acinonyx jubatus,Lycaon pictus",Lycaon pictus,Lycaon pictus,Lycaon pictus,NCBI,0.988,Canidae,Mammalia
Cuculus gularis,Cuculus gularis,Cuculus gularis,Cuculus gularis,NCBI,0.988,Cuculidae,Aves
Loxodonta africana,Loxodonta africana,Loxodonta africana,Loxodonta africana,NCBI,0.988,Elephantidae,Mammalia
"Andropadus importunus,Cossypha semirufa,Laniarius aethiopicus,Oriolus larvatus,Pycnonotus barbatus,Turdus tephronotus,Turdoides rubiginosa",Andropadus importunus,Andropadus importunus,Andropadus importunus,NCBI,0.988,Pycnonotidae,Aves
"Andropadus importunus,Cossypha semirufa,Laniarius aethiopicus,Oriolus larvatus,Pycnonotus barbatus,Turdus tephronotus,Turdoides rubiginosa",Cossypha semirufa,Cossypha semirufa,Cossypha semirufa,NCBI,0.988,Muscicapidae,Aves
"Andropadus importunus,Cossypha semirufa,Laniarius aethiopicus,Oriolus larvatus,Pycnonotus barbatus,Turdus tephronotus,Turdoides rubiginosa",Laniarius aethiopicus,Laniarius aethiopicus,Laniarius aethiopicus,NCBI,0.988,Malaconotidae,Aves
"Andropadus importunus,Cossypha semirufa,Laniarius aethiopicus,Oriolus larvatus,Pycnonotus barbatus,Turdus tephronotus,Turdoides rubiginosa",Oriolus larvatus,Oriolus larvatus,Oriolus larvatus,NCBI,0.988,Oriolidae,Aves
"Andropadus importunus,Cossypha semirufa,Laniarius aethiopicus,Oriolus larvatus,Pycnonotus barbatus,Turdus tephronotus,Turdoides rubiginosa",Pycnonotus barbatus,Pycnonotus barbatus,Pycnonotus barbatus,NCBI,0.988,Pycnonotidae,Aves
"Andropadus importunus,Cossypha semirufa,Laniarius aethiopicus,Oriolus larvatus,Pycnonotus barbatus,Turdus tephronotus,Turdoides rubiginosa",Turdus tephronotus,Turdus tephronotus,Turdus tephronotus,NCBI,0.988,Turdidae,Aves
"Andropadus importunus,Cossypha semirufa,Laniarius aethiopicus,Oriolus larvatus,Pycnonotus barbatus,Turdus tephronotus,Turdoides rubiginosa",Turdoides rubiginosa,Turdoides rubiginosa,Turdoides rubiginosa,Freebase,0.988,Leiothrichidae,Aves
Saxicola torquatus,Saxicola torquatus,Saxicola torquatus,Saxicola torquatus,Freebase,0.988,Muscicapidae,Aves
"Trigonoceps occipitalis,Gyps africanus",Trigonoceps occipitalis,Trigonoceps occipitalis,Trigonoceps occipitalis,NCBI,0.988,Accipitridae,Aves
"Trigonoceps occipitalis,Gyps africanus",Gyps africanus,Gyps africanus,Gyps africanus,NCBI,0.988,Accipitridae,Aves
"Gyps rueppellii,Gyps africanus",Gyps rueppellii,Gyps rueppellii,Gyps rueppellii,NCBI,0.988,Accipitridae,Aves
"Gyps rueppellii,Gyps africanus",Gyps africanus,Gyps africanus,Gyps africanus,NCBI,0.988,Accipitridae,Aves
Gyps africanus,Gyps africanus,Gyps africanus,Gyps africanus,NCBI,0.988,Accipitridae,Aves
Lycaon pictus,Lycaon pictus,Lycaon pictus,Lycaon pictus,NCBI,0.988,Canidae,Mammalia
Dasyprocta punctata,Dasyprocta punctata,Dasyprocta punctata,Dasyprocta punctata,NCBI,0.988,Dasyproctidae,Mammalia
Lepus europaeus,Lepus europaeus,Lepus europaeus,Lepus europaeus,NCBI,0.988,Leporidae,Mammalia
"Procyon lotor,Vulpes vulpes,Lepus europaeus",Procyon lotor,Procyon lotor,Procyon lotor,NCBI,0.988,Procyonidae,Mammalia
"Procyon lotor,Vulpes vulpes,Lepus europaeus",Vulpes vulpes,Vulpes vulpes,Vulpes vulpes,NCBI,0.988,Canidae,Mammalia
"Procyon lotor,Vulpes vulpes,Lepus europaeus",Lepus europaeus,Lepus europaeus,Lepus europaeus,NCBI,0.988,Leporidae,Mammalia
Procyon lotor,Procyon lotor,Procyon lotor,Procyon lotor,NCBI,0.988,Procyonidae,Mammalia
Aquila adalberti,Aquila adalberti,Aquila adalberti,Aquila adalberti,NCBI,0.988,Accipitridae,Aves
Aquila fasciata,Aquila fasciata,Aquila fasciata,Aquila fasciata,Freebase,0.988,Accipitridae,Aves
Alca torda,Alca torda,Alca torda,Alca torda,NCBI,0.988,Alcidae,Aves
Aldabrachelys gigantea,Aldabrachelys gigantea,Aldabrachelys gigantea,Aldabrachelys gigantea,NCBI,0.988,Testudinidae,Reptilia
Neophron percnopterus,Neophron percnopterus,Neophron percnopterus,Neophron percnopterus,NCBI,0.988,Accipitridae,Aves
Lepidochelys kempii,Lepidochelys kempii,Lepidochelys kempii,Lepidochelys kempii,NCBI,0.988,Cheloniidae,Reptilia
"Canis aureus,Vulpes bengalensis",Canis aureus,Canis aureus,Canis aureus,NCBI,0.988,Canidae,Mammalia
"Canis aureus,Vulpes bengalensis",Vulpes bengalensis,Vulpes bengalensis,Vulpes bengalensis,NCBI,0.988,Canidae,Mammalia
"Caretta caretta,Chelonia ,Chelonia mydas,Lepidochelys kempii",Caretta caretta,Caretta caretta,Caretta caretta,NCBI,0.988,Cheloniidae,Reptilia
"Caretta caretta,Chelonia ,Chelonia mydas,Lepidochelys kempii",Chelonia,Chelonia,Chelonia,Catalogue of Life,0.75,Cheloniidae,Reptilia
"Caretta caretta,Chelonia ,Chelonia mydas,Lepidochelys kempii",Chelonia mydas,Chelonia mydas,Chelonia mydas,NCBI,0.988,Cheloniidae,Reptilia
"Caretta caretta,Chelonia ,Chelonia mydas,Lepidochelys kempii",Lepidochelys kempii,Lepidochelys kempii,Lepidochelys kempii,NCBI,0.988,Cheloniidae,Reptilia
Ciconia,Ciconia,Ciconia,Ciconia,Catalogue of Life,0.75,Ciconiidae,Aves
Papio,Papio,Papio,Papio,Catalogue of Life,0.75,Cercopithecidae,Mammalia
Alligator mississippiensis,Alligator mississippiensis,Alligator mississippiensis,Alligator mississippiensis,NCBI,0.988,Alligatoridae,Reptilia
Botaurus lentiginosus,Botaurus lentiginosus,Botaurus lentiginosus,Botaurus lentiginosus,NCBI,0.988,Ardeidae,Aves
Neovison vison,Neovison vison,Neovison vison,Neovison vison,NCBI,0.988,,
Haematopus palliatus,Haematopus palliatus,Haematopus palliatus,Haematopus palliatus,NCBI,0.988,Haematopodidae,Aves
Setophaga ruticilla,Setophaga ruticilla,Setophaga ruticilla,Setophaga ruticilla,NCBI,0.988,Parulidae,Aves
Eudocimus albus,Eudocimus albus,Eudocimus albus,Eudocimus albus,NCBI,0.988,Threskiornithidae,Aves
Pelecanus erythrorhynchos,Pelecanus erythrorhynchos,Pelecanus erythrorhynchos,Pelecanus erythrorhynchos,NCBI,0.988,Pelecanidae,Aves
Scolopax minor,Scolopax minor,Scolopax minor,Scolopax minor,NCBI,0.988,Scolopacidae,Aves
Falco amurensis,Falco amurensis,Falco amurensis,Falco amurensis,NCBI,0.988,Falconidae,Aves
Anas acuta,Anas acuta,Anas acuta,Anas acuta,NCBI,0.988,Anatidae,Aves
Anas crecca,Anas crecca,Anas crecca,Anas crecca,NCBI,0.988,Anatidae,Aves
Vultur gryphus,Vultur gryphus,Vultur gryphus,Vultur gryphus,NCBI,0.988,Cathartidae,Aves
Lycalopex culpaeus,Lycalopex culpaeus,Lycalopex culpaeus,Lycalopex culpaeus,NCBI,0.988,Canidae,Mammalia
Anguilla anguilla,Anguilla anguilla,Anguilla anguilla,Anguilla anguilla,NCBI,0.988,Anguillidae,Teleostei
Anser albifrons,Anser albifrons,Anser albifrons,Anser albifrons,NCBI,0.988,Anatidae,Aves
Thalassoica antarctica,Thalassoica antarctica,Thalassoica antarctica,Thalassoica antarctica,NCBI,0.988,Procellariidae,Aves
Hylophylax naevioides,Hylophylax naevioides,Hylophylax naevioides,Hylophylax naevioides,NCBI,0.988,Thamnophilidae,Aves
Formicarius analis,Formicarius analis,Formicarius analis,Formicarius analis,NCBI,0.988,Formicariidae,Aves
"Ammotragus lervia,Ovis ammon",Ammotragus lervia,Ammotragus lervia,Ammotragus lervia,NCBI,0.988,Bovidae,Mammalia
"Ammotragus lervia,Ovis ammon",Ovis ammon,Ovis ammon,Ovis ammon,NCBI,0.988,Bovidae,Mammalia
"Grus grus,Phoeniconaias minor,Phoenicopterus roseus",Grus grus,Grus grus,Grus grus,NCBI,0.988,Gruidae,Aves
"Grus grus,Phoeniconaias minor,Phoenicopterus roseus",Phoeniconaias minor,Phoeniconaias minor,Phoeniconaias minor,Encyclopedia of Life,0.988,Phoenicopteridae,Aves
"Grus grus,Phoeniconaias minor,Phoenicopterus roseus",Phoenicopterus roseus,Phoenicopterus roseus,Phoenicopterus roseus,NCBI,0.988,Phoenicopteridae,Aves
"Aquila chrysaetos,Milvus milvus,Aegypius monachus,Pandion haliaetus,Aquila adalberti,Aquila fasciata",Aquila chrysaetos,Aquila chrysaetos,Aquila chrysaetos,NCBI,0.988,Accipitridae,Aves
"Aquila chrysaetos,Milvus milvus,Aegypius monachus,Pandion haliaetus,Aquila adalberti,Aquila fasciata",Milvus milvus,Milvus milvus,Milvus milvus,NCBI,0.988,Accipitridae,Aves
"Aquila chrysaetos,Milvus milvus,Aegypius monachus,Pandion haliaetus,Aquila adalberti,Aquila fasciata",Aegypius monachus,Aegypius monachus,Aegypius monachus,NCBI,0.988,Accipitridae,Aves
"Aquila chrysaetos,Milvus milvus,Aegypius monachus,Pandion haliaetus,Aquila adalberti,Aquila fasciata",Pandion haliaetus,Pandion haliaetus,Pandion haliaetus,NCBI,0.988,Pandionidae,Aves
"Aquila chrysaetos,Milvus milvus,Aegypius monachus,Pandion haliaetus,Aquila adalberti,Aquila fasciata",Aquila adalberti,Aquila adalberti,Aquila adalberti,NCBI,0.988,Accipitridae,Aves
"Aquila chrysaetos,Milvus milvus,Aegypius monachus,Pandion haliaetus,Aquila adalberti,Aquila fasciata",Aquila fasciata,Aquila fasciata,Aquila fasciata,Freebase,0.988,Accipitridae,Aves
Aquila,Aquila,Aquila,Aquila,Catalogue of Life,0.75,Accipitridae,Aves
"Aquila chrysaetos,Aquila fasciata",Aquila chrysaetos,Aquila chrysaetos,Aquila chrysaetos,NCBI,0.988,Accipitridae,Aves
"Aquila chrysaetos,Aquila fasciata",Aquila fasciata,Aquila fasciata,Aquila fasciata,Freebase,0.988,Accipitridae,Aves
"Gyps fulvus,Hieraaetus fasciatus,Aquila fasciata",Gyps fulvus,Gyps fulvus,Gyps fulvus,NCBI,0.988,Accipitridae,Aves
"Gyps fulvus,Hieraaetus fasciatus,Aquila fasciata",Hieraaetus fasciatus,Hieraaetus fasciatus,Hieraaetus fasciatus,NCBI,0.988,,
"Gyps fulvus,Hieraaetus fasciatus,Aquila fasciata",Aquila fasciata,Aquila fasciata,Aquila fasciata,Freebase,0.988,Accipitridae,Aves
"Hieraaetus fasciatus,Aquila fasciata",Hieraaetus fasciatus,Hieraaetus fasciatus,Hieraaetus fasciatus,NCBI,0.988,,
"Hieraaetus fasciatus,Aquila fasciata",Aquila fasciata,Aquila fasciata,Aquila fasciata,Freebase,0.988,Accipitridae,Aves
"Aquila chrysaetos,Hieraaetus fasciatus",Aquila chrysaetos,Aquila chrysaetos,Aquila chrysaetos,NCBI,0.988,Accipitridae,Aves
"Aquila chrysaetos,Hieraaetus fasciatus",Hieraaetus fasciatus,Hieraaetus fasciatus,Hieraaetus fasciatus,NCBI,0.988,,
Hieraaetus fasciatus,Hieraaetus fasciatus,Hieraaetus fasciatus,Hieraaetus fasciatus,NCBI,0.988,,
Aquila heliaca,Aquila heliaca,Aquila heliaca,Aquila heliaca,NCBI,0.988,Accipitridae,Aves
Rynchops niger,Rynchops niger,Rynchops niger,Rynchops niger,NCBI,0.988,Laridae,Aves
Elanoides forficatus,Elanoides forficatus,Elanoides forficatus,Elanoides forficatus,NCBI,0.988,Accipitridae,Aves
"Pluvialis squatarola,Numenius phaeopus",Pluvialis squatarola,Pluvialis squatarola,Pluvialis squatarola,NCBI,0.988,Charadriidae,Aves
"Pluvialis squatarola,Numenius phaeopus",Numenius phaeopus,Numenius phaeopus,Numenius phaeopus,NCBI,0.988,Scolopacidae,Aves
Vulpes lagopus,Vulpes lagopus,Vulpes lagopus,Vulpes lagopus,NCBI,0.988,Canidae,Mammalia
Lepus arcticus,Lepus arcticus,Lepus arcticus,Lepus arcticus,NCBI,0.988,Leporidae,Mammalia
Falco peregrinus,Falco peregrinus,Falco peregrinus,Falco peregrinus,NCBI,0.988,Falconidae,Aves
Pluvialis dominica,Pluvialis dominica,Pluvialis dominica,Pluvialis dominica,NCBI,0.988,Charadriidae,Aves
Calidris alpina,Calidris alpina,Calidris alpina,Calidris alpina,NCBI,0.988,Scolopacidae,Aves
Calidris melanotos,Calidris melanotos,Calidris melanotos,Calidris melanotos,NCBI,0.988,Scolopacidae,Aves
Phalaropus fulicarius,Phalaropus fulicarius,Phalaropus fulicarius,Phalaropus fulicarius,Freebase,0.988,Scolopacidae,Aves
Calidris pusilla,Calidris pusilla,Calidris pusilla,Calidris pusilla,NCBI,0.988,Scolopacidae,Aves
Numenius phaeopus,Numenius phaeopus,Numenius phaeopus,Numenius phaeopus,NCBI,0.988,Scolopacidae,Aves
Stercorarius parasiticus,Stercorarius parasiticus,Stercorarius parasiticus,Stercorarius parasiticus,NCBI,0.988,Stercorariidae,Aves
Sterna paradisaea,Sterna paradisaea,Sterna paradisaea,Sterna paradisaea,NCBI,0.988,Laridae,Aves
"Arctocephalus gazella,Arctocephalus tropicalis",Arctocephalus gazella,Arctocephalus gazella,Arctocephalus gazella,NCBI,0.988,Otariidae,Mammalia
"Arctocephalus gazella,Arctocephalus tropicalis",Arctocephalus tropicalis,Arctocephalus tropicalis,Arctocephalus tropicalis,NCBI,0.988,Otariidae,Mammalia
Arctocephalus tropicalis,Arctocephalus tropicalis,Arctocephalus tropicalis,Arctocephalus tropicalis,NCBI,0.988,Otariidae,Mammalia
Ardea insignis,Ardea insignis,Ardea insignis,Ardea insignis,NCBI,0.988,Ardeidae,Aves
Ardeola idae,Ardeola idae,Ardeola idae,Ardeola idae,NCBI,0.988,Ardeidae,Aves
Ardeola ralloides,Ardeola ralloides,Ardeola ralloides,Ardeola ralloides,NCBI,0.988,Ardeidae,Aves
"Prunella modularis,Sylvia atricapilla",Prunella modularis,Prunella modularis,Prunella modularis,NCBI,0.988,Prunellidae,Aves
"Prunella modularis,Sylvia atricapilla",Sylvia atricapilla,Sylvia atricapilla,Sylvia atricapilla,NCBI,0.988,Sylviidae,Aves
Hirundo rustica,Hirundo rustica,Hirundo rustica,Hirundo rustica,NCBI,0.988,Hirundinidae,Aves
"Phalacrocoracidae ,Phalacrocorax aristotelis,Larus argentatus,Larus michahellis",Phalacrocoracidae,Phalacrocoracidae,Phalacrocoracidae,Catalogue of Life,0.75,Phalacrocoracidae,Aves
"Phalacrocoracidae ,Phalacrocorax aristotelis,Larus argentatus,Larus michahellis",Phalacrocorax aristotelis,Phalacrocorax aristotelis,Phalacrocorax aristotelis,Freebase,0.988,Phalacrocoracidae,Aves
"Phalacrocoracidae ,Phalacrocorax aristotelis,Larus argentatus,Larus michahellis",Larus argentatus,Larus argentatus,Larus argentatus,NCBI,0.988,Laridae,Aves
"Phalacrocoracidae ,Phalacrocorax aristotelis,Larus argentatus,Larus michahellis",Larus michahellis,Larus michahellis,Larus michahellis,NCBI,0.988,Laridae,Aves
Aegolius acadicus,Aegolius acadicus,Aegolius acadicus,Aegolius acadicus,NCBI,0.988,Strigidae,Aves
"Sula dactylatra,Fregata aquila",Sula dactylatra,Sula dactylatra,Sula dactylatra,NCBI,0.988,Sulidae,Aves
"Sula dactylatra,Fregata aquila",Fregata aquila,Fregata aquila,Fregata aquila,NCBI,0.988,Fregatidae,Aves
"Galeocerdo cuvier,Carcharhinus galapagensis",Galeocerdo cuvier,Galeocerdo cuvier,Galeocerdo cuvier,NCBI,0.988,Carcharhinidae,Chondrichthyes
"Galeocerdo cuvier,Carcharhinus galapagensis",Carcharhinus galapagensis,Carcharhinus galapagensis,Carcharhinus galapagensis,NCBI,0.988,Carcharhinidae,Chondrichthyes
Megaptera novaeangliae,Megaptera novaeangliae,Megaptera novaeangliae,Megaptera novaeangliae,NCBI,0.988,Balaenopteridae,Mammalia
Anastomus oscitans,Anastomus oscitans,Anastomus oscitans,Anastomus oscitans,NCBI,0.988,Ciconiidae,Aves
Ciconia episcopus,Ciconia episcopus,Ciconia episcopus,Ciconia episcopus,NCBI,0.988,Ciconiidae,Aves
Asio flammeus,Asio flammeus,Asio flammeus,Asio flammeus,NCBI,0.988,Strigidae,Aves
"Pica ,Pica pica",Pica,Pica,Pica,Catalogue of Life,0.75,Corvidae,Aves
"Pica ,Pica pica",Pica pica,Pica pica,Pica pica,NCBI,0.988,Corvidae,Aves
Branta bernicla,Branta bernicla,Branta bernicla,Branta bernicla,NCBI,0.988,Anatidae,Aves
Fratercula arctica,Fratercula arctica,Fratercula arctica,Fratercula arctica,NCBI,0.988,Alcidae,Aves
Gavia stellata,Gavia stellata,Gavia stellata,Gavia stellata,NCBI,0.988,Gaviidae,Aves
Melanitta perspicillata,Melanitta perspicillata,Melanitta perspicillata,Melanitta perspicillata,NCBI,0.988,Anatidae,Aves
Stenella frontalis,Stenella frontalis,Stenella frontalis,Stenella frontalis,NCBI,0.988,Delphinidae,Mammalia
Acipenser oxyrinchus,Acipenser oxyrinchus,Acipenser oxyrinchus,Acipenser oxyrinchus,NCBI,0.988,Acipenseridae,Chondrostei
"Falco tinnunculus,Lanius excubitor,Turdus merula,Garrulus glandarius,Passer hispaniolensis,Pycnonotus xanthopygos,Sylvia atricapilla,Chloris chloris",Falco tinnunculus,Falco tinnunculus,Falco tinnunculus,NCBI,0.988,Falconidae,Aves
